Food Name,Sugar,Fat,Sodium,class_name,subclass_name,nova
Millet finger flour,,2g,0.002g,CEREAL GRAINS,MILLET GRAIN,Unprocessed/Minimally processed foods
Millet Finger grain dried raw,,1.9g,0.002g,CEREAL GRAINS,MILLET GRAIN,Unprocessed/Minimally processed foods
Millet Yeast (germinated millet seeds),,1.9g,0.006g,BAKING ADDITIVES,YEAST,Processed Culinary Ingredients
Oat bran unprocessed uncooked,,7.5g,0.012g,BREAKFAST CEREALS,OATS,Unprocessed/Minimally processed foods
Pasta macaroni plain dry raw imported,,1.5g,0.0052g,PASTAS,PASTA - MACARONI,Unprocessed/Minimally processed foods
Pasta macaroni plain dry imported boiled drained (without salt),,0.6g,0.003g,PASTAS,PASTA - MACARONI,Unprocessed/Minimally processed foods
Pasta macaroni plain dry imported boiled in recipe (without salt),,0.6g,0.004g,PASTAS,PASTA - MACARONI,Unprocessed/Minimally processed foods
Pasta spaghetti dry raw imported,,1.4g,0.005g,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
Pasta spaghetti dry imported boiled drained (without salt),,0.5g,0.003g,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
Pasta spaghetti dry imported boiled in recipe (without salt),,0.5g,0.004g,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
Rice Flour,,1.1g,0.002g,WHEAT FLOUR,RICE FLOUR,Unprocessed/Minimally processed foods
Rice parboiled raw,,0.5g,0.006g,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods
Rice parboiled boiled (without salt),,0.2g,0.004g,CEREAL GRAINS,PARBOILED RICE,Unprocessed/Minimally processed foods
Rice white milled polished grain dry raw,,1g,0.017g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Rice white milled polished grain dry boiled (without salt),,0.3g,0.008g,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
Semolina,,1.1g,0.002g,WHEAT FLOUR,SEMOLINA,Unprocessed/Minimally processed foods
Scone plain commercial,,15g,0.8g,PASTRIES,SCONES,Processed foods
Sorghum Grain Red Dried Raw,,3.5g,0.006g,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods
Sorghum whole grain red dried boiled drained (without salt),,1.5g,0.004g,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods
Sorghum whole grain red dried stewed drained (without salt),,1.5g,0.004g,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods
Sorghum Grain Red Flour,,3.5g,0.006g,WHEAT FLOUR,SORGHUM FLOUR,Unprocessed/Minimally processed foods
Sorghum grain white dry raw,,3.5g,0.006g,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods
Sorghum whole grain white dry boiled drained (without salt),,1.5g,0.004g,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods
Sorghum whole grain white dry stewed drained (without salt),,1.5g,0.004g,CEREAL GRAINS,SORGHUM GRAIN,Unprocessed/Minimally processed foods
Sorghum grain white flour,,3.5g,0.004g,WHEAT FLOUR,SORGHUM FLOUR,Unprocessed/Minimally processed foods
Teff raw,,2.4g,0.012g,CEREAL GRAINS,TEFF,Unprocessed/Minimally processed foods
Wheat Flour Atta,,1.8g,0.002g,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
Wheat Flour (refined fortified sifted packaged) raw,,1.6g,0.002g,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
Wheat whole flour raw,,2.5g,0.003g,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods
Wheat whole grain dry raw,,2.5g,0.002g,CEREAL GRAINS,WHEAT GRAIN,Unprocessed/Minimally processed foods
Wheat whole grain dry boiled (without salt),,1.4g,0.002g,CEREAL GRAINS,WHEAT GRAIN,Unprocessed/Minimally processed foods
Wheat whole grain dry stewed (without salt),,1.4g,0.003g,CEREAL GRAINS,WHEAT GRAIN,Unprocessed/Minimally processed foods
Arrowroot flour,,0.2g,0.002g,WHEAT FLOUR,ARROWROOT FLOUR,Unprocessed/Minimally processed foods
Arrowroot peeled raw,,0.3g,0.036g,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods
Arrowroot peeled boiled drained (without salt),,0.3g,0.028g,ROOT VEGETABLES,ARROWROOTS,Unprocessed/Minimally processed foods
Banana BITA 3 dried flour,,1.8g,0.004g,BABY FOODS - PORRIDGE FLOUR,PORRIDGE FLOUR - BANANA,Processed foods
Banana plantain green raw,,0.4g,0.01g,FRUITS,GREEN BANANAS,Unprocessed/Minimally processed foods
Beet root peeled raw,,0.1g,0.06g,ROOT VEGETABLES,BEETROOT,Unprocessed/Minimally processed foods
Beet root peeled boiled drained (without salt),,0.1g,0.033g,ROOT VEGETABLES,BEETROOT,Unprocessed/Minimally processed foods
Beet root peeled stewed (without salt),,0.1g,0.056g,ROOT VEGETABLES,BEETROOT,Unprocessed/Minimally processed foods
Cassava root white peeled raw,,0.3g,0.002g,ROOT VEGETABLES,CASSAVA,Unprocessed/Minimally processed foods
Cassava root white peeled boiled drained (without salt),,0.2g,0.001g,ROOT VEGETABLES,CASSAVA,Unprocessed/Minimally processed foods
Cassava root yellow peeled raw,,0.2g,0.002g,ROOT VEGETABLES,CASSAVA,Unprocessed/Minimally processed foods
Cassava root yellow peeled boiled drained (without salt),,0.2g,0.001g,ROOT VEGETABLES,CASSAVA,Unprocessed/Minimally processed foods
Potato Irish (English) white variety peeled raw,,0.1g,0.00646g,ROOT VEGETABLES,POTATO,Unprocessed/Minimally processed foods
Potato Irish (English) white variety peeled boiled drained (without salt),,0.1g,0.005g,ROOT VEGETABLES,POTATO,Unprocessed/Minimally processed foods
Potato Irish (English) white variety peeled steamed (without salt),,0.2g,0.006g,ROOT VEGETABLES,POTATO,Unprocessed/Minimally processed foods
Radish round red skin raw,,0.16g,0.03227g,VEGETABLES,RADISH,Unprocessed/Minimally processed foods
Radish long red skin raw,,0.1g,0.025g,VEGETABLES,RADISH,Unprocessed/Minimally processed foods
Radish white skin raw,,0.3g,0.026g,VEGETABLES,RADISH,Unprocessed/Minimally processed foods
Sweet potato brown skin peeled raw,,0.4g,0.02g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Sweet potato brown skin peeled boiled drained (without salt),,0.4g,0.016g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Sweetpotato orange biofortified raw,,0.1g,0.01g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Sweetpotato orange biofortified boiled drained (without salt),,0.1g,0.008g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Sweet potato pink skin,,0.6g,0.011g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Sweet potato pink skin boiled drained (without salt),,0.6g,0.009g,ROOT VEGETABLES,SWEET POTATO,Unprocessed/Minimally processed foods
Taro peeled raw,,0.2g,0.01g,ROOT VEGETABLES,TARO,Unprocessed/Minimally processed foods
Turnip root raw,,0.2g,0.029g,ROOT VEGETABLES,TURNIP,Unprocessed/Minimally processed foods
Yam flour,,0.4g,0.028g,WHEAT FLOUR,YAM FLOUR,Unprocessed/Minimally processed foods
Yam white raw,,0.2g,0.01g,ROOT VEGETABLES,YAM,Unprocessed/Minimally processed foods
Yam white boiled drained (without salt),,0.2g,0.008g,ROOT VEGETABLES,YAM,Unprocessed/Minimally processed foods
Beans broad dry raw,,1.53g,0.025g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans broad dry unsoaked boiled drained (without salt),,0.5g,0.009g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans broad dry unsoaked boiled (without salt water not discarded),,0.3g,0.008g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans broad dry water soaked boiled in different water drained (without salt),,0.5g,0.009g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans broad dry water soaked boiled in different water (without salt water not discarded),,0.3g,0.008g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans broad fresh raw,,0.5g,0.002g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans broad fresh boiled drained (without salt),,0.5g,0.002g,"PULSES - PEAS, LENTILS, BEANS",BROAD BEANS (FAVA),Unprocessed/Minimally processed foods
Beans cluster fresh raw,,0.4g,0.004g,"PULSES - PEAS, LENTILS, BEANS",CLUSTER BEANS (GUAR),Unprocessed/Minimally processed foods
Beans cluster fresh boiled drained (without salt),,0.4g,0.003g,"PULSES - PEAS, LENTILS, BEANS",CLUSTER BEANS (GUAR),Unprocessed/Minimally processed foods
Beans kidney dry raw,,2g,0.022g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Beans kidney dry unsoaked boiled drained (without salt),,0.8g,0.008g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Beans kidney dry unsoaked boiled (without salt water not discarded),,0.5g,0.007g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Beans kidney dry water soaked boiled in different water drained (without salt),,0.8g,0.008g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Beans kidney dry water soaked boiled in different water (without salt water not discarded),,0.5g,0.007g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Beans lima dry raw,,1.63g,0.007g,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods
Beans lima dry unsoaked boiled drained (without salt),,0.7g,0.004g,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods
Beans lima dry unsoaked boiled (without salt water not discarded),,0.4g,0.004g,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods
Beans lima dry water soaked boiled in different water drained (without salt),,0.7g,0.004g,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods
Beans lima dry water soaked boiled in different water (without salt water not discarded),,0.4g,0.004g,"PULSES - PEAS, LENTILS, BEANS",BUTTER/LIMA BEANS,Unprocessed/Minimally processed foods
Bean red fresh raw,,0.4g,0.003g,"PULSES - PEAS, LENTILS, BEANS",KIDNEY BEANS,Unprocessed/Minimally processed foods
Beans shellie canned solid liquids,,0.2g,0.334g,"PULSES - PEAS, LENTILS, BEANS",CANNED BEANS (READY),Processed foods
Bonavist dry raw,,1.4g,0.018g,"PULSES - PEAS, LENTILS, BEANS",BONAVIST/LABLAB BEANS,Unprocessed/Minimally processed foods
Bonavist dry unsoaked boiled drained (without salt),,0.5g,0.007g,"PULSES - PEAS, LENTILS, BEANS",BONAVIST/LABLAB BEANS,Unprocessed/Minimally processed foods
Bonavist dry unsoaked boiled (without salt water not discarded),,0.4g,0.009g,"PULSES - PEAS, LENTILS, BEANS",BONAVIST/LABLAB BEANS,Unprocessed/Minimally processed foods
Bonavist dry water soaked boiled in different water drained (without salt),,0.5g,0.007g,"PULSES - PEAS, LENTILS, BEANS",BONAVIST/LABLAB BEANS,Unprocessed/Minimally processed foods
Bonavist dry water soaked boiled in different water (without salt water not discarded),,0.3g,0.007g,"PULSES - PEAS, LENTILS, BEANS",BONAVIST/LABLAB BEANS,Unprocessed/Minimally processed foods
Bonavist fresh raw,,0.6g,0.006g,"PULSES - PEAS, LENTILS, BEANS",BONAVIST/LABLAB BEANS,Unprocessed/Minimally processed foods
Chick peas whole dry raw,,5.1g,0.025g,"PULSES - PEAS, LENTILS, BEANS",CHICKPEAS,Unprocessed/Minimally processed foods
Chick peas whole dry unsoaked boiled drained (without salt),,2.3g,0.01g,"PULSES - PEAS, LENTILS, BEANS",CHICKPEAS,Unprocessed/Minimally processed foods
Chick peas whole unsoaked boiled (without salt water not discarded),,1.6g,0.01g,"PULSES - PEAS, LENTILS, BEANS",CHICKPEAS,Unprocessed/Minimally processed foods
Chick peas whole dry water soaked boiled in different water drained (without salt),,2.3g,0.01g,"PULSES - PEAS, LENTILS, BEANS",CHICKPEAS,Unprocessed/Minimally processed foods
Chick peas whole dry water soaked boiled in different water (without salt water not discarded),,1.6g,0.01g,"PULSES - PEAS, LENTILS, BEANS",CHICKPEAS,Unprocessed/Minimally processed foods
Cowpeas dry raw,,1.1g,0.022g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpeas dry unsoaked boiled drained (without salt),,0.4g,0.008g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpeas unsoaked boiled (without salt water not discarded),,0.3g,0.007g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpeas dry water soaked boiled in different water drained (without salt),,0.4g,0.008g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpeas dry water soaked boiled in different water (without salt water not discarded),,0.3g,0.007g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpeas fresh raw,,0.6g,0.006g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Cowpeas fresh boiled drained (without salt),,0.6g,0.005g,"PULSES - PEAS, LENTILS, BEANS",COWPEAS/CHORA,Unprocessed/Minimally processed foods
Flour soya full fat,,20.2g,0.0127g,WHEAT FLOUR,SOYA FLOUR,Unprocessed/Minimally processed foods
Flour soya low fat,,8.68g,0.009g,WHEAT FLOUR,SOYA FLOUR,Unprocessed/Minimally processed foods
Garden peas fresh raw,,0.7g,0.00366g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Garden peas fresh boiled drained (without salt),,0.7g,0.003g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Garden peas dry raw,,1.9g,0.017g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Garden peas dry unsoaked boiled drained (without salt),,0.7g,0.007g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Garden peas unsoaked boiled (without salt water not discarded),,0.4g,0.006g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Garden peas dry water soaked boiled in different water drained (without salt),,0.7g,0.007g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Garden peas dry water soaked boiled in different water (without salt water not discarded),,0.4g,0.006g,"PULSES - PEAS, LENTILS, BEANS",GARDEN PEAS,Unprocessed/Minimally processed foods
Gram black dry raw,,1.7g,0.014g,"PULSES - PEAS, LENTILS, BEANS",BLACK GRAM (URAD),Unprocessed/Minimally processed foods
Gram black dry unsoaked boiled drained (without salt),,0.6g,0.005g,"PULSES - PEAS, LENTILS, BEANS",BLACK GRAM (URAD),Unprocessed/Minimally processed foods
Gram black dry unsoaked boiled (without salt water not discarded),,0.4g,0.005g,"PULSES - PEAS, LENTILS, BEANS",BLACK GRAM (URAD),Unprocessed/Minimally processed foods
Gram black dry water soaked boiled in different water drained (without salt),,0.6g,0.005g,"PULSES - PEAS, LENTILS, BEANS",BLACK GRAM (URAD),Unprocessed/Minimally processed foods
Gram black dry water soaked boiled in different water (without salt water not discarded),,0.4g,0.005g,"PULSES - PEAS, LENTILS, BEANS",BLACK GRAM (URAD),Unprocessed/Minimally processed foods
Gram Flour,,5.4g,0.002g,WHEAT FLOUR,GRAM FLOUR (BESAN),Unprocessed/Minimally processed foods
Gram green dry raw,,1.7g,0.026g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
Gram green dry unsoaked boiled drained (without salt),,0.6g,0.009g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
Gram green dry unsoaked boiled (without salt water not discarded),,0.4g,0.008g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
Gram green dry water soaked boiled in different water drained (without salt),,0.6g,0.009g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
Gram green dry water soaked boiled in different water (without salt water not discarded),,0.4g,0.008g,"PULSES - PEAS, LENTILS, BEANS",GREEN GRAMS,Unprocessed/Minimally processed foods
Lentils whole dry raw,,0.6g,0.011g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
Lentils whole dry unsoaked boiled drained (without salt),,0.2g,0.005g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
Lentils whole unsoaked boiled (without salt water not discarded),,0.2g,0.005g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
Lentils whole dry water soaked boiled in different water drained (without salt),,0.2g,0.005g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
Lentils whole dry water soaked boiled in different water (without salt water not discarded),,0.2g,0.005g,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods
Pigeon peas dry raw,,2.1g,0.021g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods
Pigeon peas dry unsoaked boiled drained (without salt),,0.9g,0.008g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods
Pigeon peas dry unsoaked boiled (without salt water not discarded),,0.7g,0.008g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods
Pigeon peas dry water soaked boiled in different water drained (without salt),,0.9g,0.008g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods
Pigeon peas dry water soaked boiled in different water (without salt water not discarded),,0.7g,0.008g,"PULSES - PEAS, LENTILS, BEANS",PIGEON PEAS,Unprocessed/Minimally processed foods
Soybean dry raw,,19.1g,0.007g,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods
Soybean dry unsoaked boiled drained (without salt),,7.9g,0.004g,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods
Soybean dry water soaked boiled in different water drained (without salt),,7.9g,0.004g,"PULSES - PEAS, LENTILS, BEANS",SOYA BEANS,Unprocessed/Minimally processed foods
Amaranth leaves picked raw,,0.2g,0.018g,VEGETABLES,TERERE (AMARANTH LEAVES),Unprocessed/Minimally processed foods
Amaranth leaves picked boiled drained (without salt),,0.3g,0.014g,VEGETABLES,TERERE (AMARANTH LEAVES),Unprocessed/Minimally processed foods
Amaranth leaves picked stewed (without salt),,0.3g,0.022g,VEGETABLES,TERERE (AMARANTH LEAVES),Unprocessed/Minimally processed foods
Bitter gourd whole different varieties raw,,0.2g,0.016g,VEGETABLES,BITTER GOURD,Unprocessed/Minimally processed foods
Bitter gourd whole different varieties boiled drained (without salt),,0.3g,0.014g,VEGETABLES,BITTER GOURD,Unprocessed/Minimally processed foods
Black (African) nightshade indigenous leaves picked raw,,0.1g,0.01g,VEGETABLES,MANAGU (BLACK NIGHTSHADE),Unprocessed/Minimally processed foods
Black (African) nightshade indigenous leaves picked boiled drained (without salt),,0.1g,0.007g,VEGETABLES,MANAGU (BLACK NIGHTSHADE),Unprocessed/Minimally processed foods
Broccoli tops and stems raw,,0.3g,0.022g,VEGETABLES,BROCCOLI,Unprocessed/Minimally processed foods
Black (African) nightshade indigenous leaves picked steamed,,0.1g,0.007g,VEGETABLES,MANAGU (BLACK NIGHTSHADE),Unprocessed/Minimally processed foods
Broccoli tops and stems boiled drained (without salt),,0.3g,0.015g,VEGETABLES,BROCCOLI,Unprocessed/Minimally processed foods
Broccoli tops and stems steamed (without salt),,0.3g,0.018g,VEGETABLES,BROCCOLI,Unprocessed/Minimally processed foods
Cabbage leaf head Chinese raw,,0.3g,0.016g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head Chinese boiled drained (without salt),,0.3g,0.012g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head Chinese steamed (without salt),,0.3g,0.014g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head red raw,,0.2g,0.016g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head red boiled drained (without salt),,0.2g,0.012g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head red stewed (without salt),,0.2g,0.015g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head white raw,,0.1g,0.037g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head white boiled drained (without salt),,0.1g,0.029g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Cabbage leaf head white stewed (without salt),,0.1g,0.04g,VEGETABLES,CABBAGE,Unprocessed/Minimally processed foods
Capsicum (sweet peper) green raw,,0.1g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) green boiled drained (without salt),,0.1g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) green grilled (without salt and fat),,0.1g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) green baked (without salt),,0.1g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) red raw,,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) red boiled drained (without salt),,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) red grilled (without salt and fat),,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) red baked (without salt),,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) yellow raw,,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) yellow boiled drained (without salt),,0.2g,0.001g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) yellow grilled (without salt and fat),,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Capsicum (sweet peper) yellow baked (without salt),,0.2g,0.002g,VEGETABLES,CAPSICUM/SWEET PEPPER,Unprocessed/Minimally processed foods
Carrot peeled raw,,0.2g,0.035g,VEGETABLES,CARROTS,Unprocessed/Minimally processed foods
Carrot peeled boiled drained (without salt),,0.3g,0.021g,VEGETABLES,CARROTS,Unprocessed/Minimally processed foods
