product_name,energy_kcal,energy_kj,protein_g,carbohydrates_g,total_sugar_g,total_fat_g,fibre_g,sodium_g,sub_type,form,class_name,subclass_name,nova,classification_method,class_confidence,subclass_confidence,nova_confidence,needs_review,classification_timestamp
AFIA APPLE DRINK,285,1192.44,4,71,0,4,0,0,Drink,Liquid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AFIA APPLE JUICE,285,1192.44,4,71,0,4,0,0,Drink,Liquid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.737,0.707,0.727,TRUE,2026-04-07T09:21:17.880566+00:00
AFIA MIXEDFRUIT JUICE,47,180,0.01,11.7,11.7,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AFIA MULTI VITAMIN FRUIT DRINK,50,209,,12.4,9.7,,,0.008,Fruit Drink,Liquid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AFIA ORANGE FRUIT DRINK,45,188.28,0.7,10,8.4,0.2,,0.001,Fruit Drink,Liquid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.833,0.803,0.823,TRUE,2026-04-07T09:21:17.880566+00:00
AFIA PINK GUAVA JUICE,26,107,0.4,6,5,0,1.2,0.00048,Drink,Liquid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,simulated_lookup_fuzzy,0.737,0.707,0.727,TRUE,2026-04-07T09:21:17.880566+00:00
AFIA TROPICAL CARROT FRUIT DRINK,69,288.696,0.5,17.2,12.5,,,,Fruit Drink,Liquid,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AFTER EIGHT MINT CHOCOLATE,,,,,,,,,,,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AFTER EIGHT SHAPES CHOCOLATE,,,,,,,,,,,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AG TABASCO STYLE HOT SAUCE,,,,,,,,,,,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AIRHEADS CHERRY CANDY BAR,384.615,1608.97,0,96.1538,70.5128,0,,,Candy Bar,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AIRHEADS ORANGE CANDY BAR,416.667,1740.38,0,96.1538,67.3077,3.20513,,0.0160256,Candy Bar,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AIRHEADS WHITE MYSTERY CANDY BAR,384.615,1608.97,0,96.1538,70.5128,0,,,Candy Bar,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AIRWAVES BLACKCURRANT S/F 10P,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AIRWAVES GUM MENTHOL&EUCALYPTUS,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AJAB ALL PURPOSE FLOUR,364,1522.4,10.4,76,0.24,0.96,2.72,0.002,All Purpose Flour,Powder,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.737,0.707,0.727,TRUE,2026-04-07T09:21:17.880566+00:00
AJAB FORTIFIED ALL PURPOSE HOME BAKING FLOUR,252,1054.36,8.4,51,1.9,1.6,,,Baking Flour,Powder,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AJAB FORTIFIED ATTA MARK 1 FLOUR,364,1522.4,10.4,76,0.24,0.96,2.72,0.002,Flour,Powder,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AJAB FORTIFIED MANDAZI FLOUR,300,1250,10,50,,10,,0.32,Mandazi Flour,Powder,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.783,0.753,0.773,TRUE,2026-04-07T09:21:17.880566+00:00
AJAB FORTIFIED SELF RAISING FLOUR,400,1670,10,80,,,,,Raising Flour,Powder,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AJAB MAIZE MEAL FLOUR,351,1491,7.8,77.7,0.5,0.8,1,,Maize Meal Flour,Powder,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.833,0.803,0.823,TRUE,2026-04-07T09:21:17.880566+00:00
AL AMEERA TAHINA,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AL JAZIRA EXTRA VIRGIN OLIVE OIL,900,3700,,,,100,,,Olive Oil,Liquid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALL TIME HONEY,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALL TIME HONEY BLACK SEED OIL SQUEEZE,,,,,,,,,,,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALL TIME HONEY HEXA SQUEEZE,,,,,,,,,,,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALL TIME HONEY IN BLK SEED OIL,,,,,,,,,,,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALL TIME HONEY JERRYCAN,,,,,,,,,,,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALL TIME HONEY SQUEEZE,,,,,,,,,,,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALLEGRO EXTRA VIRGIN OLIVE OIL,900,3765.6,,,,100,,,Olive Oil,Liquid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALPENLIEBE CARAMEL CANDY,,,,,,,,,,,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALPENLIEBE CHOCOLATE CARAMEL ECLAIRS CANDY,3.9,407.7,0.05,1705.82,84.4,66.5,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALPENLIEBE GOLD CREAM STRAWBERRY CANDY,417,1744,0.2,88,71,6.8,,0.22,Candy,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ALVARO MALT DRINK,126,527.184,3.2,14.3,9.3,6.3,,,Malt Drink,Liquid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMAIZE MAIZE MEAL FLOUR,92,388,2.2,21.5,,21.5,0.8,,Maize Meal Flour,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.756,0.726,0.746,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA BASMATI RICE,365,1527,7.1,80,,0.7,1.8,0.00054,Rice,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.8,0.77,0.79,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA HEALTHY GOODNESS LONG GRAIN BASMATI RICE,349,1485,8.7,77.8,,0.7,0.8,,Basmati Rice,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA NJAHI BLACK BEANS,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA NYAYO BEANS,347,1451.85,23,62,,,16,0.015,Nyayo Beans,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA PISHORI RICE,349,1460.22,8,77,,,,,Pishori Rice,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.8,0.77,0.79,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA PREMIUM BASMATI RICE,350,1464,8.8,78,,,1.6,0.0017,Rice,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,simulated_lookup_fuzzy,0.72,0.69,0.71,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA PREMIUM PISHORI RICE,351,1491,7.8,77.7,0.5,0.8,1,,Pishori Rice,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA ROSECOCO BEANS,260,1120,21,46,3.5,2.7,12.5,,Rosecoco Beans,Solid,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMANA YELLOW BEANS,347,1451.85,23,62,,,16,0.015,Yellow Beans,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMAZON TOMATO KETCHUP,110,460,1.1,26.3,15.9,0.1,0.24,0.412,Ketchup,Liquid,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,simulated_lookup_fuzzy,0.791,0.761,0.781,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN G CREA RANCH DRESSING,466.667,1952.33,0,6.66667,3.33333,50,0,0.733333,Ranch Dressing and Dip,Paste,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN G KETCHUP HOT & SPICY,117.647,491.765,0,29.4118,23.5294,0,0,0.882353,Ketchup,Paste,WHEAT FLOUR,WHEAT FLOUR - ATTA,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN APPLE CIDER VINEGAR,70,292.88,,0.3,0.1,,,,Vinegar,Liquid,TABLE SAUCES,VINEGAR,Ultra-processed foods,simulated_lookup_fuzzy,0.758,0.728,0.748,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN ITALIAN MARINADE AND SALAD DRESSING,80,334.72,,3,3,8,,0.53,Salad Dressing,Paste,UNRESOLVED,UNRESOLVED,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN LITE MAYONNAISE,150,628,,,,,,0.045,Mayonnaise,Paste,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,simulated_lookup_fuzzy,0.727,0.697,0.717,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN MAYONNAISE,309,1292,0.93,8.98,4.91,29.9,0.23,1.7,Mayonnaise,Paste,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,simulated_lookup_fuzzy,0.8,0.77,0.79,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN MAYONNAISE LITE,45,188.28,,1,1,,,0.105,Mayonnaise,Paste,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,simulated_lookup_fuzzy,0.727,0.697,0.717,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN MUSHROOM PASTA SAUCE,47.2441,197.638,1.5748,8.66142,5.51181,0.787402,2.3622,0.346457,Sauce,Paste,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN POPCORN BUTTER,484.848,2027.27,,57.5758,,24.2424,,0.969697,Popcorn,Solid,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN REGULAR MAYONNAISE,,,,,,,,,Mayonnaise,Cream,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN SPICY BROWN MUSTARD,5,20.92,4,,,,,0.065,Mustard,Paste,TABLE SAUCES,MAYONNAISE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN TOMATO KETCHUP,88,368.192,0,23,2,0,0,0,Ketchup,Paste,TABLE SAUCES,TOMATO KETCHUP,Ultra-processed foods,simulated_lookup_fuzzy,0.731,0.701,0.721,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN WHITE VINEGAR,,,,,,,,,White Vinegar,Liquid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN WORCESTERSHIRE SAUCE,,,,,,,,,Worcestershire Sauce,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GARDEN YELLOW MUSTARD SQUEEZE,0,0,0,0,0,0,0,1.2,Mustard,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET BARBEQUE SAUCE,50,209.2,,13,11,,,0.34,Sauce,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET DIJON MUSTARD,149,623.416,7.2,3.2,2.7,11.5,,,Mustard,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET ITALIAN DRESS,283,1184.07,0,10,8,28,,1.642,Italian Dressing,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET MAYO,,,,,,,,,Mayonnaise,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET PANCAKE SYRUP,,,,,,,,,Pancake Syrup,Liquid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET REGULAR MAYONNAISE,174,728,0.2,0,1.7,15.3,0.1,0.745,Mayonnaise,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMERICAN GOURMET THOUSAN ISLAND,,,,,,,,,Salad Dressing,Paste,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS CHEESE AND ONION POTATO CHIPS,533,2230.07,6,53,2,32,,1200,Potato Chips,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS CHEESEONION CRISPS,,,,,,,,,Corn Chips,Solid,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,simulated_lookup_fuzzy,0.846,0.816,0.836,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS CHILLI TWISTS PELLETS POTATO,149,623.416,2.3,18,1.3,7.7,1,0.184,Pellets Potato,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS DESIGN CHILLI PELLETS CHIPS,342,1430,10,75,,0.2,,,Chips,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS DESIGN SALTED PELLETS,1333.33,5578.67,0,266.667,0,0,0,0.166667,Potato Pellets,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS DESIGN SALTED PELLETS CHIPS,554,2317,7,51.7,2.6,35.5,,0.51,Chips,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS FRIED CASHEW NUTS,621,2566,17,30,4.9,48,3.2,0.26,Fried Cashew Nuts,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS FRIED PEANUTS,,,,,,,,,,,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods,simulated_lookup_fuzzy,0.85,0.82,0.84,FALSE,2026-04-07T09:21:17.880566+00:00
AMIGOS GATHIA NUTS,519.7,2174.42,18.2,47.8,1.5,28.5,,,Gathia,Solid,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS INDIAN NUTS CHEVDA,512,5142,8,55.5,15,28.62,1.3,0.78,Chevda,Solid,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS MASALA PEANUTS,,,,,,,,,,,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS MATOKE CRISPS,,,,,,,,,Matoke Crisps,Solid,SWEET AND SAVOURY SNACKS,POTATO CRISPS,Ultra-processed foods,simulated_lookup_fuzzy,0.769,0.739,0.759,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS NDUMA CHIPS,470,1966.48,7,60,4,20,,0.001,Chips,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS NUTS CHEVDA,512,5142,8,55.5,15,28.62,1.3,0.78,Chevda,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS PEANUT CHIKKI NUTS,,,,,,,,,,,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS PREMIUM SUVADANA MOUTH FRESHENER,389,1627.58,2.2,84,62,5,8.06,0.0694,Mouth Freshener,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS READY SALTED POTATO CHIPS,536.111,2243.09,5.55556,47.2222,,36.1111,,0.763889,Potato Chips,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS RESDY SALTED POTATO CHIPS,536.111,2243.09,5.55556,47.2222,,36.1111,,0.763889,Potato Chips,Solid,UNRESOLVED,UNRESOLVED,Unknown,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS ROASTED CASHEWNUTS,157,657,5.2,8.6,,12,0.9,0.0034,Cashewnuts,Solid,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods,simulated_lookup_fuzzy,0.8,0.77,0.79,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS ROASTED PEANUTS,,,,,,,,,,,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods,simulated_lookup_fuzzy,0.864,0.834,0.854,FALSE,2026-04-07T09:21:17.880566+00:00
AMIGOS SALT AND VINEGAR POTATO CHIPS,490,2050.16,3.33333,56.6667,,23.3333,,,Potato Chips,Solid,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS SALTED MATOKE CHIPS,519,2171.5,2,58,35,32,,0.006,Chips,Solid,WHOLE MILK,FRESH MILK,Unprocessed/Minimally processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS SIMSIM NUTS CHIKKI,110,509,8,2129.6,66.23,23.5,,,Chikki,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
AMIGOS SUVADANA MOUTH FRESHENER,389,1627.58,2.2,84,62,5,8.06,0.0694,Mouth Freshener,Solid,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ANDREA MILANO BALSAMIC VINEGAR,,,,,,,,,,,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ANDREA MILANO RED WINE VINEGAR,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
ANDREA MILANO WHITE WINE VINEGAR,,,,,,,,,,,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods,unresolved,0,0,0,TRUE,2026-04-07T09:21:17.880566+00:00
